Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Event/TC07_TECHNOFEST 2.0,Chrome 110.0.0.0,,,2023-02-11 13:12:13,2023-02-11 13:12:16,3.138s,PASSED
"click(findTestObject(""Event/Event""))",Chrome 110.0.0.0,,,2023-02-11 13:12:14,2023-02-11 13:12:14,0.563s,PASSED
"navigateToUrl(""https://technofest.stiki.ac.id/en/event/2"")",Chrome 110.0.0.0,,,2023-02-11 13:12:14,2023-02-11 13:12:15,0.838s,PASSED
"verifyElementText(findTestObject(""Event/Event Gallery TECHNOFEST 2.0""), ""Event Gallery TECHNOFEST 2.0"")",Chrome 110.0.0.0,,,2023-02-11 13:12:15,2023-02-11 13:12:16,0.658s,PASSED
,,,,,,,
Test Cases/Event/TC08_TECHNOFEST 3.0,Chrome 110.0.0.0,,,2023-02-11 13:12:16,2023-02-11 13:12:18,2.669s,PASSED
"click(findTestObject(""Event/Event""))",Chrome 110.0.0.0,,,2023-02-11 13:12:17,2023-02-11 13:12:17,0.500s,PASSED
"navigateToUrl(""https://technofest.stiki.ac.id/en/event/3"")",Chrome 110.0.0.0,,,2023-02-11 13:12:17,2023-02-11 13:12:18,0.527s,PASSED
"verifyElementText(findTestObject(""Event/Event Gallery TECHNOFEST 3.0""), ""Event Gallery TECHNOFEST 3.0"")",Chrome 110.0.0.0,,,2023-02-11 13:12:18,2023-02-11 13:12:18,0.532s,PASSED
,,,,,,,
Test Cases/Event/TC09_TECHNOFEST 4.0,Chrome 110.0.0.0,,,2023-02-11 13:12:18,2023-02-11 13:12:21,2.744s,PASSED
"click(findTestObject(""Event/Event""))",Chrome 110.0.0.0,,,2023-02-11 13:12:19,2023-02-11 13:12:20,0.555s,PASSED
"navigateToUrl(""https://technofest.stiki.ac.id/en/event/5"")",Chrome 110.0.0.0,,,2023-02-11 13:12:20,2023-02-11 13:12:20,0.575s,PASSED
"verifyElementText(findTestObject(""Event/Event Gallery TECHNOFEST 4.0""), ""Event Gallery TECHNOFEST 4.0"")",Chrome 110.0.0.0,,,2023-02-11 13:12:20,2023-02-11 13:12:21,0.691s,PASSED
,,,,,,,
Test Cases/Event/TC10_TECHNOFEST 5.0,Chrome 110.0.0.0,,,2023-02-11 13:12:21,2023-02-11 13:12:24,2.731s,PASSED
"click(findTestObject(""Event/Event""))",Chrome 110.0.0.0,,,2023-02-11 13:12:22,2023-02-11 13:12:23,0.556s,PASSED
"navigateToUrl(""https://technofest.stiki.ac.id/en/event/6"")",Chrome 110.0.0.0,,,2023-02-11 13:12:23,2023-02-11 13:12:23,0.666s,PASSED
"verifyElementText(findTestObject(""Event/Event Gallery TECHNOFEST 5.0""), ""Event Gallery TECHNOFEST 5.0"")",Chrome 110.0.0.0,,,2023-02-11 13:12:23,2023-02-11 13:12:24,0.566s,PASSED
,,,,,,,
Test Cases/Quizioner/TC11_Submit quizioner,Chrome 110.0.0.0,,,2023-02-11 13:12:24,2023-02-11 13:12:38,13.770s,PASSED
"click(findTestObject(""Quizioner/Quizioner""))",Chrome 110.0.0.0,,,2023-02-11 13:12:25,2023-02-11 13:12:27,2.632s,PASSED
"verifyElementText(findTestObject(""Quizioner/Kuesioner""), ""Kuesioner"")",Chrome 110.0.0.0,,,2023-02-11 13:12:27,2023-02-11 13:12:28,0.796s,PASSED
"setText(findTestObject(""Quizioner/Q1""), ""Alif"")",Chrome 110.0.0.0,,,2023-02-11 13:12:28,2023-02-11 13:12:30,1.280s,PASSED
"setText(findTestObject(""Quizioner/Q2""), ""Malang"")",Chrome 110.0.0.0,,,2023-02-11 13:12:30,2023-02-11 13:12:31,0.954s,PASSED
"click(findTestObject(""Quizioner/Q3""))",Chrome 110.0.0.0,,,2023-02-11 13:12:31,2023-02-11 13:12:31,0.579s,PASSED
"click(findTestObject(""Quizioner/Q4""))",Chrome 110.0.0.0,,,2023-02-11 13:12:31,2023-02-11 13:12:32,0.602s,PASSED
"click(findTestObject(""Quizioner/Q5""))",Chrome 110.0.0.0,,,2023-02-11 13:12:32,2023-02-11 13:12:32,0.518s,PASSED
"click(findTestObject(""Quizioner/Q6""))",Chrome 110.0.0.0,,,2023-02-11 13:12:32,2023-02-11 13:12:33,0.589s,PASSED
"click(findTestObject(""Quizioner/Q7""))",Chrome 110.0.0.0,,,2023-02-11 13:12:33,2023-02-11 13:12:33,0.591s,PASSED
"click(findTestObject(""Quizioner/Q8""))",Chrome 110.0.0.0,,,2023-02-11 13:12:33,2023-02-11 13:12:34,0.550s,PASSED
"click(findTestObject(""Quizioner/Q9""))",Chrome 110.0.0.0,,,2023-02-11 13:12:34,2023-02-11 13:12:34,0.528s,PASSED
