Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Setting/Semester/Add semester/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:13:39,2023-02-10 12:13:40,1.125s,PASSED
"verifyElementText(findTestObject(""Setting/Semester/Add semester/Create Semester""), ""Create Semester"")",Chrome 110.0.0.0,,,2023-02-10 12:13:40,2023-02-10 12:13:41,0.493s,PASSED
"click(findTestObject(""Setting/Semester/Add semester/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:13:41,2023-02-10 12:13:41,0.594s,PASSED
back(),Chrome 110.0.0.0,,,2023-02-10 12:13:41,2023-02-10 12:13:42,0.130s,PASSED
,,,,,,,
Test Cases/Setting/TC11_View semester,Chrome 110.0.0.0,,,2023-02-10 12:13:42,2023-02-10 12:13:45,3.225s,PASSED
"setText(findTestObject(""Setting/Semester/View semester/Search""), ""5.0"")",Chrome 110.0.0.0,,,2023-02-10 12:13:43,2023-02-10 12:13:44,0.920s,PASSED
"verifyElementText(findTestObject(""Setting/Semester/View semester/TECHNOFEST 5.0""), ""TECHNOFEST 5.0"")",Chrome 110.0.0.0,,,2023-02-10 12:13:44,2023-02-10 12:13:45,1.019s,PASSED
,,,,,,,
Test Cases/Setting/TC12_Edit semester,Chrome 110.0.0.0,,,2023-02-10 12:13:45,2023-02-10 12:13:57,11.909s,PASSED
"click(findTestObject(""Setting/Semester/Add semester/Semester 2""))",Chrome 110.0.0.0,,,2023-02-10 12:13:46,2023-02-10 12:13:47,1.027s,PASSED
"setText(findTestObject(""Setting/Semester/Edit semester/Search""), ""edit"")",Chrome 110.0.0.0,,,2023-02-10 12:13:47,2023-02-10 12:13:48,1.171s,PASSED
"click(findTestObject(""Setting/Semester/Edit semester/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:13:48,2023-02-10 12:13:50,1.633s,PASSED
"verifyElementText(findTestObject(""Setting/Semester/Edit semester/Update Semester test""), ""Update Semester Test"")",Chrome 110.0.0.0,,,2023-02-10 12:13:50,2023-02-10 12:13:50,0.512s,PASSED
"clearText(findTestObject(""Setting/Semester/Edit semester/Edit semester""))",Chrome 110.0.0.0,,,2023-02-10 12:13:50,2023-02-10 12:13:51,0.568s,PASSED
"setText(findTestObject(""Setting/Semester/Edit semester/Edit semester""), ""Genap 2026/2027"")",Chrome 110.0.0.0,,,2023-02-10 12:13:51,2023-02-10 12:13:52,0.946s,PASSED
"clearText(findTestObject(""Setting/Semester/Edit semester/Edit title""))",Chrome 110.0.0.0,,,2023-02-10 12:13:52,2023-02-10 12:13:52,0.576s,PASSED
"setText(findTestObject(""Setting/Semester/Edit semester/Edit title""), ""Test TECHNOFEST edit baru"")",Chrome 110.0.0.0,,,2023-02-10 12:13:52,2023-02-10 12:13:53,0.993s,PASSED
"clearText(findTestObject(""Setting/Semester/Edit semester/Edit position""))",Chrome 110.0.0.0,,,2023-02-10 12:13:53,2023-02-10 12:13:54,0.622s,PASSED
"setText(findTestObject(""Setting/Semester/Edit semester/Edit position""), ""16"")",Chrome 110.0.0.0,,,2023-02-10 12:13:54,2023-02-10 12:13:55,0.929s,PASSED
"click(findTestObject(""Setting/Semester/Edit semester/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:13:55,2023-02-10 12:13:57,1.734s,PASSED
,,,,,,,
Test Cases/Setting/TC13_Edit semester tanpa mengisi form,Chrome 110.0.0.0,,,2023-02-10 12:13:57,2023-02-10 12:14:07,10.133s,PASSED
"click(findTestObject(""Setting/Semester/Add semester/Semester 2""))",Chrome 110.0.0.0,,,2023-02-10 12:13:58,2023-02-10 12:14:02,3.759s,PASSED
